,text,is_misinfo,cleaned_text
0,"if you kissed someone on Amelia St, don’t worry about what’s in the vaccine.",0,"if you kissed someone on Amelia St, dont worry about whats in the vaccine."
1,"i really doubt 2021 will be much different imo because corona will probably ruin it, so i’m not too excited but hopefully at some point the vaccine works and things can get a little better for everyone. but i still hope 2021 is good for you all regardless :) happy new year!!",0,"i really doubt will be much different imo because corona will probably ruin it, so im not too excited but hopefully at some point the vaccine works and things can get a little better for everyone. but i still hope is good for you all regardless happy new year!!"
2,"People want answers, but they’re also just excited to get the vaccine as soon as they can.

https://t.co/l31kDxSbM3 via @ClevelandClaire",0,"People want answers, but theyre also just excited to get the vaccine as soon as they can. via"
3,Why any healthy person would want to take an experimental vaccine that has only 2 months of safety for a highly survivable virus is beyond me. To each his own.,1,Why any healthy person would want to take an experimental vaccine that has only months of safety for a highly survivable virus is beyond me. To each his own.
4,"1/1 @TheBMA surely consenting people to a two part licensed vaccination, then changing the treatment without consent to an experimental vaccination dose with no scientific evidence is mis-consent and should be legally challenged? As a DR who is responsible for giving the vaccine,",1,"/1 surely consenting people to a two part licensed vaccination, then changing the treatment without consent to an experimental vaccination dose with no scientific evidence is mis-consent and should be legally challenged? As a DR who is responsible for giving the vaccine,"
5,so excited for The Vaccine that i got a tetanus vaccine today just to get in the spirit 🎉😂,0,so excited for The Vaccine that i got a tetanus vaccine today just to get in the spirit
6,My mom has her appt for the Covid vaccine!! On the 14th. I’ve never seen someone so excited to get a shot before.,0,My mom has her appt for the Covid vaccine!! On the th. Ive never seen someone so excited to get a shot before.
7,"Excited about the COVID-19 vaccine? It's been an incredible public health group effort, including amazing work done by Juanita Erb, one of our #HeroesOf2020, and her team at the NYU Langone Vaccine Center. Hear more from our Heroes at https://t.co/WmQ3oSedz8. https://t.co/9JbiLmcRYc",0,"Excited about the COVID-19 vaccine? It's been an incredible public health group effort, including amazing work done by Juanita Erb, one of our , and her team at the NYU Langone Vaccine Center. Hear more from our Heroes at ."
8,"NUMBER 37 Part 2 Knowing the facts. Further Health Minister and Pfizer INSIST ALL old, sick MUST be injected with LIVE EXPERIMENTAL drug and NOT advising most old WILL die or be crippled as allergic reaction, obvious REMOVAL, main public stated AIM of Gates.",1,"NUMBER Part Knowing the facts. Further Health Minister and Pfizer INSIST ALL old, sick MUST be injected with LIVE EXPERIMENTAL drug and NOT advising most old WILL die or be crippled as allergic reaction, obvious REMOVAL, main public stated AIM of Gates."
9,I finally got an appointment for the COVID vaccine at my work and I am literally SO EXCITED 🙈,0,I finally got an appointment for the COVID vaccine at my work and I am literally SO EXCITED
